group,rank,recommended,taxon_id,common_name,scientific_name,countries_with_records,observation_count,review_note
mammals,1,yes,43694,African Savanna Elephant,Loxodonta africana,1,8871,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,2,yes,42149,Common Hippopotamus,Hippopotamus amphibius,1,5666,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,3,yes,74832,Olive Baboon,Papio anubis,1,5416,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,4,yes,41886,Spotted Hyena,Crocuta crocuta,1,3977,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,5,yes,68137,Vervet Monkey,Chlorocebus pygerythrus,1,2717,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,6,yes,42122,Common Warthog,Phacochoerus africanus,1,1680,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,7,yes,74321,Thomson's Gazelle,Eudorcas thomsonii,1,1659,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,8,yes,43335,Plains Zebra,Equus quagga,1,1601,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,9,yes,42278,Impala,Aepyceros melampus,1,1460,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,10,yes,41921,Banded Mongoose,Mungos mungo,1,1435,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,11,yes,43088,Bush Hyrax,Heterohyrax brucei,1,1338,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,12,yes,42328,Waterbuck,Kobus ellipsiprymnus,1,1159,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,13,yes,42405,African Buffalo,Syncerus caffer,1,1111,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,14,yes,67683,Yellow Baboon,Papio cynocephalus,1,1108,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,15,yes,1431867,Southern Bushbuck,Tragelaphus sylvaticus,1,1087,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,16,yes,1510573,Reticulated Giraffe,Giraffa reticulata,1,1027,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,17,yes,41906,Common Dwarf Mongoose,Helogale parvula,1,944,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,18,yes,1430935,Cavendish's Dik-Dik,Madoqua cavendishi,1,942,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,19,yes,43486,Blue Monkey,Cercopithecus mitis,1,838,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,20,yes,1210966,Black-backed Jackal,Lupulella mesomelas,1,746,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,21,yes,42280,Common Wildebeest,Connochaetes taurinus,1,720,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,22,yes,43339,Grévy's Zebra,Equus grevyi,1,700,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,23,yes,326032,Zanzibar Red Colobus Monkey,Piliocolobus kirkii,1,649,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,24,yes,42304,Bohor Reedbuck,Redunca redunca,1,572,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,25,yes,1430933,Hinde's Dik-Dik,Madoqua hindei,1,562,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,26,yes,1643992,Rusty-spotted Genet,Genetta fieldiana,1,550,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,27,yes,1510574,Maasai Giraffe,Giraffa tippelskirchi,1,535,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,28,yes,46206,Unstriped Ground Squirrel,Xerus rutilus,1,531,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,29,yes,46116,Ochre Bush Squirrel,Paraxerus ochraceus,1,524,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
