group,rank,recommended,taxon_id,common_name,scientific_name,countries_with_records,observation_count,review_note
mammals,1,yes,42184,Western Roe Deer,Capreolus capreolus,1,14605,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,2,yes,42069,Red Fox,Vulpes vulpes,1,12844,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,3,yes,42134,Wild Boar,Sus scrofa,1,12449,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,4,yes,43151,European Rabbit,Oryctolagus cuniculus,1,11877,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,5,yes,46001,Eurasian Red Squirrel,Sciurus vulgaris,1,8556,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,6,yes,204113,Red Deer,Cervus elaphus,1,8166,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,7,exclude,118552,Domestic Cat,Felis catus,1,7497,Domestic cat; not a wildlife collection entry.
mammals,8,yes,43042,Common Hedgehog,Erinaceus europaeus,1,7313,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,9,yes,855297,European Badger,Meles meles,1,6866,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,10,yes,43997,Coypu,Myocastor coypus,1,5941,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,11,yes,46082,Alpine Marmot,Marmota marmota,1,5201,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,12,yes,42347,Northern Chamois,Rupicapra rupicapra,1,4812,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,13,yes,41482,Common Bottlenose Dolphin,Tursiops truncatus,1,4262,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,14,yes,42161,European Fallow Deer,Dama dama,1,3987,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,15,yes,41850,Eurasian Otter,Lutra lutra,1,3534,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,16,yes,41800,Stone Marten,Martes foina,1,3106,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,17,yes,42357,Alpine Ibex,Capra ibex,1,3026,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,18,yes,43111,Eastern Cottontail,Sylvilagus floridanus,1,3021,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,19,yes,42048,Gray Wolf,Canis lupus,1,3019,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,20,yes,43128,Brown Hare,Lepus europaeus,1,2938,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,21,yes,44576,Brown Rat,Rattus norvegicus,1,2640,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,22,yes,42350,Iberian Ibex,Capra pyrenaica,1,2498,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,23,yes,46017,Eastern Gray Squirrel,Sciurus carolinensis,1,2347,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,24,yes,44171,Crested Porcupine,Hystrix cristata,1,2343,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,25,yes,44575,Black Rat,Rattus rattus,1,1980,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,26,yes,45562,European Wood Mouse,Apodemus sylvaticus,1,1821,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,27,exclude,123070,Domestic Goat,Capra hircus,1,1728,Domestic goat; not a wildlife collection entry.
mammals,28,yes,46640,Greater White-toothed Shrew,Crocidura russula,1,1418,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,29,yes,46970,European Mole,Talpa europaea,1,1415,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,30,yes,40695,Lesser Horseshoe Bat,Rhinolophus hipposideros,1,1410,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,31,yes,74383,European Fat Dormouse,Glis glis,1,1335,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,32,yes,43048,Northern White-breasted Hedgehog,Erinaceus roumanicus,1,1317,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,33,yes,46969,Iberian mole,Talpa occidentalis,1,1289,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
